,link,title,description,category
122,LGx16JHWr8,,"The Diamante Eco Adventure Park is one of the best things to do in Costa Rica. It has a canopy tour with the longest ocean view zipline, animal sanctuary, botanical garden, butterfly observatory and ATV & horseback riding tours. Diamante Park is located in the Gulf of Papagayo, Guanacaste (near Playas del Coco, Hotel RIU, Playa Ocotal, Playa Hermosa and Playa Panama. Get 10% off the park in our discount below!

DIAMANTE BLOG POST: 

DIAMANTE ZIP LINE COSTA RICA 360 VIDEO: 

GET 10% OFF YOUR DIAMANTE ENTRANCE HERE: . Fill out the form and we will send you your confirmation with the 10% off!

WEBSITE
Costa Rica blog: 
SOCIAL MEDIA
Blog: 
Facebook: 
Instagram: 

TRANSCRIPT

Hey guys, today we are the Diamante Eco Adventure Park in Gulf of Papagayo, Guanacaste, Costa Rica. I am with Julian, who is one of the owners of the park and he's going to share us some more information about it.

So Julian first, thank you so much for having us. Can you share with us more about Diamante and the kind of activities there are to do here? 

OK well I think you did the Adventure Pass today right? Yes! Did you have fun? Yes, loved it. OK well the reason why the reason the Adventure Pass is our most widely used pass is that you do everything in the park for one price. And you start off with our zipline which is really amazing. It's five lines but you get the most ride time in the entire country. The reason why people really love our lines is that in most traditional ziplines, you have to put your hand on the line to slow yourself down or even stop but at Diamante all of our lines are completely automatic braking so it allows you to sit back and really have a good time and experience some amazing views that we have around the park. 

Our biggest line is one of the top five in the world, you fly for almost a mile in a superman style and it's absolutely one of the best ziplines you'll do in your life. 

We did the zipline and I can definitely attest to that, it was amazing. So what other activities are in the Adventure Pass?

So when you finish the Adventure Pass on our zipline, you end up in our animal sanctuary and it's the largest animal sanctuary in the country. All the animals in there have been donated to us from MINAE, which is the Costa Rican equivalent to our wildlife organization and we have everything from jaguars to pumas, ocelots, margays, a lot of cats, also crocodiles and we have even have an incredible butterfly sanctuary. I didn't think I would ever say incredible butterfly sanctuary but it's really cool to walk through and see all the different butterflies, it's a really serene setting.

And tell me more about Lucy. Lucy, our number one most requested person to see here is Lucy the sloth and she's in an outdoor area and you can cruise by. We have certain feeding times that are promoted throughout the day so you can really get an upclose viewing of Lucy while she has her breakfast or lunch and there's plenty of time to see here because she moves really slow and eats even slower.

Alright so after the animal sanctuary, there's a couple of other activities in the Adventure pass correct? Yes, once you finish the sanctuary, you can head down to the beach. We're the only ocean front adventure park in the country so you can walk down to the beach and you can enjoy stand up paddle boards, kayaks, snorkeling, whatever you want to do on the ocean side, you can do it there. There's hammocks there if you want to take a nap, if you're too tired from  all the other fun you have. You can also walk through our botanical garden and you can end up in our ocean view welcome center which has an amazing buffet every day.

Thank you so much Julian for sharing this information, you guys have to come in and enjoy the superman zipline, it's incredible. Not only are the views amazing but I also felt incredibly safe, what's really special is that the harnesses are really comfortable and the wires are carbon fiber so it's so quiet and you can enjoy the ocean view the entire time.

I hope you guys enjoy the video, please click on the links below to learn more and hope to see you guys here one day!",travel
123,DRRx6Nqo_k,Ssangyang Korando : Car rental Costa Rica,"The Ssangyang Korando is a compact 5 passenger SUV that is 4wd and comes in manual transmission. Good option for a 4wd for a family or groups up to 5 people.

GET UP TO 20% OFF YOUR COSTA RICA CAR RENTAL: 
RENTING A CAR IN COSTA RICA BLOG POST: 

SOCIAL MEDIA
Blog: 
Facebook: 
Instagram: 

GEAR WE USE
Sony A6500 Body: 
Sony E mount 24-135 mm lens: 
Manfrotto Tripod: ",travel
124,nRyH9yE2Nk0,,"The Suzuki Jimny is an excellent compact 4x4, a great choice for two people who are looking for a more budget friendly 4x4 car. It is two door and comes in manual only in Costa Rica.

GET UP TO 20% OFF YOUR COSTA RICA CAR RENTAL: 
RENTING A CAR IN COSTA RICA BLOG POST: 

SOCIAL MEDIA
Blog: 
Facebook: 
Instagram: 

GEAR WE USE
Sony A6500 Body: 
Sony E mount 24-135 mm lens: 
Manfrotto Tripod: ",travel
125,J3YbMVMyHI,Driving to Rio Celeste from Bijagua,"A driving video from Bijagua town to Rio Celeste (entrance of Tenorio Volcano National Park) so you can see what the road is like. ***UPDATE JANUARY 2019*** The road from Bijagua to Rio Celeste is now completely paved! 

GET UP TO 20% OFF YOUR COSTA RICA CAR RENTAL: 
RENTING A CAR IN COSTA RICA BLOG POST: 

RIO CELESTE GUIDE: 
BIJAGUA GUIDE: 

WEBSITE
Costa Rica blog: 
SOCIAL MEDIA
Blog: 
Facebook: 
Instagram: 

GEAR WE USE
Sony Action Cam 4k: ",travel
126,dlIc4kZeP8,,"360 video of the superman Diamante zip line at Diamante Eco Adventure Park in Guanacaste, Costa Rica. This cable is a little over a kilometer with the longest ocean view and you go on it SUPERMAN style!

GET 10% OFF DIAMANTE ADVENTURE PARK COSTA RICA: 

DIAMANTE ADVENTURE PARK REVIEW:

DIAMANTE ECO ADVENTURE PARK VIDEO: 

WEBSITE
Costa Rica blog: 

SOCIAL MEDIA
Blog: 
Facebook: 
Instagram: 

GEAR WE USE
Samsung 360: 

Diamante Zip Line Costa Rica
Diamante superman zip line
Diamante Costa Rica
Diamante Park Costa Rica",travel
127,xh3zEdJtf3A,,"Tulemar Resort and Vacation Rentals is a private property with luxury houses and bungalows in Manuel Antonio, Costa Rica. It's one of the best places to stay for wildlife, ocean views, luxury amenities and high end services.

TULEMAR MANUEL ANTONIO REVIEW: 
TULEMAR WEBSITE: 

WEBSITE
Costa Rica blog: 
SOCIAL MEDIA
Blog: 
Facebook: 
Instagram: 

TRANSCRIPT:

Hey guys, today we are Tulemar Vacation Rentals and Sales. I'm with Brad who is in charge of guest services ad he's going to tell us a little bit more about the property but first I want to say thank you Brad for having us and can you tell us more about Tulemar

Yes thank you for coming Samantha, Tulemar is a 33 acre gated private residential resort that's located right in the heart of Manuel Antonio. We offer everything from a one bedroom up to a 4 or 5 bedroom private villa.

And can you tell us more about the amenities and services that guests can enjoy here at Tulemar

Sure so even though most of the units are vacation home rentals, we do have amenities of a traditional resort. We have a full service restaurant on site as well as a tiki bar on the beach, this exclusive beach of Tulemar, four different pools, three family pools, and one adults only pool and a full service concierge team.

What kind of activities can Tulemar guests enjoy on the property?

Tulemar being right in the heart of Manuel Antonio is very close to all the activities offered in the area such as ziplining, canyoning, waterfall tours but here on the grounds we have the Sloth institute of Costa Rica that there's a daily sloth walk except for Tuesdays. There's also kayaking, boogie boarding and lounging at the beach as well.

So Brad can you tell me some of the reasons why guests should choose to come to Tulemar for their stay in Manuel Antonio?

Sure so Tulemar is very unique, I would say that the most important thing that we do provide guests is the unparalleled level of guest service we have an awesome concierge staff that you'll get to know like family and make sure your vacation is exactly what you want. 

Can you tell us more about the houses and the one bedroom bungalows that Tulemar has?

Tulemar has a wide variety of accommodations we do offer the one bedroom bungalows which are the traditional original structures built here about 20 years ago that allows an experience right in the jungle canopy it is like living in the jungle with windows all around.

Then we have the luxury private villas that range between 2 all the way up to 5 bedrooms, they usually do come with a private pool and they are very great for families. We also have luxurious two bedroom and one bedroom units for couples looking for a romantic getaway.

Brad thank you so much for sharing all this information about Tulemar, where can guests go to get more information about booking a place?

So for more information, guests please visit tulemar.com you can do a live chat and speak with one of our Costa Rica experts that are actually located here in Manuel Antonio. You can also call or email for inquiries. 

Great so if you guys are interested in learning more about Tulemar and this beautiful resort, please click on the links below. We've been staying here the past few days and we've  been having an amazing time thanks for watching and hope you guys enjoy


Manuel Antonio vacation rentals
Costa Rica vacation rentals
Tulemar Resort
Tulemar vacation rental",travel
128,E-dMU_Rf47,Hotel Banana Azul Puerto Viejo Costa Rica,"Hotel Banana Azul is a premiere beach front adult only resort on Playa Negra by Puerto Viejo. 

HOTEL BANANA AZUL REVIEW: https://mytanfeet.com/hotels-in-costa...
BANANA AZUL WEBSITE: 

WEBSITE
Costa Rica blog: 
SOCIAL MEDIA
Blog: 
Facebook: 
Instagram: 

TRANSCRIPT
Hey guys, today we are the beautiful Hotel Banana Azul in Puerto Viejo. I'm with Roger who's the general manager of the hotel and he's going to share with us a little bit more information.

So first Roger I want to say thank you so much for having us and second, can you tell us about where the hotel is located.

Thank you Samantha for having here, the Hotel Banana Azul is located in Playa Negra, we are in front of Playa Negra beach that is close to Puerto Viejo, it is in the Caribbean coast of Costa Rica,  it is one of the most popular destinations that we have in Central America.

Definitely, the Caribbean coast of Costa Rica is getting really popular. So Roger can you tell us about the kind of rooms that Hotel Banana Azul has?

Yes thank you Samantha, the Hotel Banana Azul has in total 22 rooms. From these 22 rooms, 10 are located in the main building, they are on the second floor and they have an open terrace with views to the ocean and to the pool. Also the Hotel Banana Azul has 4 villas across the street that they offer more high class and private standards. And the villas are all fully equipped and the Hotel Banana Azul also has the Brisas, the apartments that are more affordable, for travelers that travel with a budget.

Roger I noticed that there is also a bartender at the beach all the time, can you tell us more about the beach club that Hotel Banana Azul has?

Sure Samantha, the Hotel Banana Azul has a beach club that is one of the most popular areas of the hotel. We have a bartender that offers drinks, cocktails also food from 10 AM until 6 PM. It is really popular as well as people go after doing a tour, they just relax and chill there and then they enjoy our happy hour that we call it happy day because it's a full day. And also we have a rancho that you can do massage as well in front of the beach that's quite popular as well.

I know the hotel offers breakfasts for guests in the rooms but can you also tell us more about the restaurant that's on site? The restaurant is on site at the Hotel Banana Azul and yes breakfast is included in the rate but we also offer it to the rest of the neighborhood so everyone can enjoy all the meals. We also offer lunch and dinner. Food is a mix of Caribbean food that is cooked with coconut oil and this kind of spices and also international so it's for everyone and we also have a vegetarian option and gluten free for all kind of people.

Roger thank you so much for having us here, you guys have spoiled us and the hospitality here is so warm and welcoming. If you guys want to learn more about the Hotel Banana Azul, you can click on the links below and please leave us any questions you have in the comments and thanks for watching.",travel
129,dWCUqIYeEMM,Jaguar Rescue Center Puerto Viejo Talamanca,"The Jaguar Rescue Center in Puerto Viejo takes in injured wildlife to rehabilitate them and release them back into the wild. In this video, you can see the different animals at the center such as sloths, monkeys, owls and more. This is one of the top attractions in Puerto VIejo, Costa Rica.

JAGUAR RESCUE CENTER BLOG POST: 

WEBSITE
Costa Rica blog: 
SOCIAL MEDIA
Blog: 
Facebook: 
Instagram: 

GEAR WE USE
Sony A6500 Body: 
Sony E mount 24-135 mm lens: 
Saramonic Wireless Mikes: 

TRANSCRIPT
Today we're at the Jaguar Rescue Center in Puerto Viejo where they rescue and rehabilitate a lot of different wildlife. We're probably going to see some monkeys,  sloths, different kinds of birds,  where they rescue the injured animals, they rehabilitate them so they can put them back in the wild. So really excited to check it out, this is probably one of the best things to do in Puerto Viejo so let's go and see.

Alright we've seen quite a few animals so far, we learned about how they rescue some of these wildlife and they treat their injuries and how they rehabilitate them so they can go back into the wild. We've seen some monkeys, sloths,  some birds like owls and pelicans, it's been very interesting and it's very educational actually so it's been a great tour so far. 
We just finished the tour at the Jaguar Rescue Center, it was really interesting, very educational,  it was great to learn about how they try to help the animals, bring them back into the wild. Definitely recommend this if you love animals, it's a great day activity in Puerto Viejo. If you want to learn more about the tour, click on the links below and thanks for watching.",travel
130,_UQmn-_FSqU,,,science
131,RMaSRuHMU4A,00004,,science
132,MSnmk7l,00002,,science
133,nK-RlUxruC8,Eagle,,science
134,QeQk-nph70Y,Tea,,science
135,xusxYlobyi4,FLOWER CAMERA TESTING,CAMERA TESTING,science
136,2gsYG3jTrg,seling cabbage,dacumentry,science
137,Sx5uVimu2yE,dog,blog,science
138,DdpszCvBhSM,new year 2019,,science
139,HCr9xvqN7fY,Vikrm photo,,science
140,2FTxpoRbHVU,My church,,science
141,FI50dy89V98,Vikramnhbc2@gmail.com,Work,science
142,VPt9_8TdDx,Abhishek cock,House,science
143,TSAxwXk4j_E,How to use led as transmitter of high frequency,Science,science
144,GFDDgtur8XQ,Birthday nishant,,science
145,F3rJRH867PE,My job,Cctv camera,science
146,2KLiG5YKU-E,My research yard,,science
147,JK84Rq7cz8,How to use YouTube in your daylly life,Basic,science
148,_UQmn-_FSqU,,,science
149,RMaSRuHMU4A,,,science
150,MSnmk7l,00002,,science
151,nK-RlUxruC8,,,science
152,QeQk-nph70Y,Tea,,science
153,xusxYlobyi4,FLOWER CAMERA TESTING,CAMERA TESTING,science
154,2gsYG3jTrg,,dacumentry,science
155,Sx5uVimu2yE,dog,blog,science
156,DdpszCvBhSM,new year 2019,,science
157,HCr9xvqN7fY,Vikrm photo,,science
158,2FTxpoRbHVU,My church,,science
159,FI50dy89V98,Vikramnhbc2@gmail.com,Work,science
160,VPt9_8TdDx,Abhishek cock,House,science
161,TSAxwXk4j_E,How to use led as transmitter of high frequency,Science,science
162,GFDDgtur8XQ,Birthday nishant,,science
163,F3rJRH867PE,My job,Cctv camera,science
164,2KLiG5YKU-E,My research yard,,science
165,JK84Rq7cz8,How to use YouTube in your daylly life,Basic,science
166,3rEeUZws8Y,Techtonets Intro Youtube,"Techtonets (http://techtonets.blogspot.com
) is the technology blogging platform where people blog about Free Softwear Download, Movie, mobile Aps, Android Apk, Android Games Apk, IT news, new gadget, Photoshop Tutorial, Adsense, tips and tricks, earn money, science and technology and more...

e-mail: techtonets@gmail.com
Information Technology Blog


 keywords:

IT, Download, Software, Free, Android, Apk, Apps, Games, Movie, Blogging, SEO, Photoshop, Tutorial, E-book, tips, tricks, internet,earn-money, Adsense,
 ",science
167,MF3Qlsd9kE,My Edited Video,I created this video with the YouTube Video Editor (http://www.youtube.com/editor),science
168,LgE5H7drGI0,Pakistan Atom Bomb Test | How Pakistan Become Atomic Power,"It is a day when nuclear explosions were made Pakistan unbelievable. Prime Minister Nawaz Sharif was in Almaty, Kazakhstan, on 11 May 1998 when India took nuclear bomb in Pokhran. The Prime Minister telephoned Army Chief General Jehangir Karama from there and said that prepare for nuclear explosions to respond to India. General Jehangir Karamatik was a sailor, he suggested that no decision would be made in the hurry, after taking any step after considering all the negative and positive aspects of this decision on your return, it would be better. Nawaz Sharif shortened his visit and returned to Pakistan and May 13 was convened as the Cabinet Defense Committee. The three services chiefs attended this meeting. Federal Minister for Foreign Affairs Gohar Ayub, Finance Minister Sartaj Aziz and Federal Interior Minister Chaudhry Shujat Hussain besides Dr Abdul Qadir Khan and Dr. Samar Mubarakhi from the Pakistan Atomic Energy Commission, attended the meeting. Dr. Ashfaq Ahmed, chairman of the Pakistan Atomic Energy Commission, was in America in those days who were immediately told to return home. The Prime Minister did not allow the Secretary Finance to call it, but Finance Minister Sartaj Aziz was asked to give the opinion on the situation. Sartaj Aziz was not in favor of nuclear explosions and he believed that instead of nuclear bomb, the economic package and national security protection should be guaranteed.   claimed that Army Chief General Jehangir Karamat and Naval Chief Admiral Fascin Bukhari opposed the nuclear explosions, while Air Marshal Parvez, head of the Pure Air Force Mahdi Qureshi said in favor of nuclear bomb. During the meeting, the participants, according to their understanding, believed that the sincerely opinion was not based on any bad, but they were supporting or opposing the interests of the foreign interests. General Jehangir Karamas defended his stand in Shuja Nawaz's book ""Cross Swords"", saying he did not want any decision in the hurry. General Jahangir Karamat says that nuclear bombings would be restricted under American laws, but they wanted to know that after the nuclear bomb, due to any obstacle in the budget, the forces did not reduce the operational capacity of Pakistan. Come, especially Kashmir is not affected. We made these assurances and that's what we wanted.

On the next day, May 14, a federal cabinet meeting was held as if it was surrounded by ""peace flights"" around Nawaz Sharif. Sartaj Aziz, who was the finance minister, described his book in Bet stressed that instead of facing global pressure by using a nuclear bomb, India should be lonely on diplomatic level and should accept the economic package for non-nuclear bombings. Regarding the remaining 6 ministers, Sartaj Aziz believes neither Hawk nor can be called Dove. For this, Sartaj Aziz has used the term Hoves, which means he was neither in three nor thirteen. At that time, Foreign Minister Gohar Ayub exposed his book Glimpses into the 'imperialties' in the corridors of powers. They claim that Sartaj Aziz was not the only, Chaudhry Nisar Ali Khan, Begum Abid Hussain and Mushahid Hussein Syed were also opposed to nuclear explosions. However, after the discussion, the option of decision was given to the prime minister. The situation was now that on one side the incredible attitude was being taken by the Indian leadership, L. Advani and Indian Prime Minister Vajpayee had threatened to destroy the bomb, and on the other hand, global pressures were increasing to stop nuclear bombings. . US President Bill Clinton told Nawaz Sharif five times to not make a nuclear bomb and offered a $ 5 billion economic and military aid. It was not easy to settle this offer because Pakistan was financially troubled economically. In the case of nuclear explosions, not just economic sanctions, but the bill of $ 2 billion meeting with IMF would be canceled, which would worsen the situation. US President sent Deputy Foreign Minister Strobe Talboot to Pakistan to brief the possible results of nuclear explosions, who confessed in his book Engaging India that the government of Pakistan refused to accept any kind of pressure and said clearly Given that there is no option except to answer India's nuclear explosions. On May 18, 1998, Dr. Ashfaq Ahmed, head of Pakistan Atomic Energy Commission, was given a green signal for nuclear explosions. On May 28, 1998, three o'clock took place in the past sixteen, in the sixteen minutes, he became the father of the Chagai mountains and became the nuclear power of Pakistan.
__/LINKS\_
Following Us On.......


Subscribe Our Channel For More Videos:


Follow Us On Facebook:


Follow Us On Twitter:


...................Thank You For Watching Video...............
Don't Forget To Subscribe Our Channel. Like, Comment And Share Our Video to Your Friends.

------------Allah Hafiz--------------",science
169,Crp1eTqlm8,Major Historical Events That Occured In Ramdan | Urdu Hindi,"in this video we will talk about major world events that happened or occurred in the month of Ramadan events that have occurred in Ramdan like Quran revelation, first Muslim women in Islam who embraced Islam and death of first wife of Prophet Muhammad peace be upon him Hazrat Khadija, Death of ummul momineen Hazrat Ayesha mother of believer daughter and death of Prophet Muhammad (saw) beloved daughter Hazrat Fatima and death of Hazrat Ali that happened in 21st ramdan  Salahuddin ayyubi sladin defeated crusader in the horn of 13 Hattin  and most important event of 21st century the creation or independence of Pakistan that happened on 27th Ramdan

__/LINKS\_
Following Us On.......


Subscribe Our Channel For More Videos:


Follow Us On Facebook:


Follow Us On Twitter:


...................Thank You For Watching Video...............
Don't Forget To Subscribe Our Channel. Like, Comment And Share Our Video to Your Friends.

------------Allah Hafiz--------------",science
170,A3KPFwCZYU,,"China may ramzan kay mahinay may uyghur muslmano par zulm kiya ja raha ha. Chian ma ramzan kareem ka roza rakhnay par pabandi ha. Chinese Muslims ko re educations camps ma dala ja raha ha.
pak china frendship
Chi
cpec
china pakistan ecomic corridor
east turkistan
china anti muslim



__/LINKS\_
Following Us On.......


Subscribe Our Channel For More Videos:


Follow Us On Facebook:


Follow Us On Twitter:


...................Thank You For Watching Video...............
Don't Forget To Subscribe Our Channel. Like, Comment And Share Our Video to Your Friends.

------------Allah Hafiz--------------",science
171,-ocQgnkpLY,Intelligence Test And Mind Test | Photos You Have To Look Twice | Urdu Hindi,"is video may hum aap ka iq test, intelligence test, mind test karain gay.
iq test
mind test
quiz
brain test
personality test

__/LINKS\_
Following Us On.......


Subscribe Our Channel For More Videos:


Follow Us On Facebook:


Follow Us On Twitter:


...................Thank You For Watching Video...............
Don't Forget To Subscribe Our Channel. Like, Comment And Share Our Video to Your Friends.

------------Allah Hafiz--------------",science
172,Kt7eqsW-4oA,Real True History And Life Story of Dracula(Vlad 3) and Sultan Muhammad Faith(Mehmed 2) Urdu Hindi,"Aaj hum aapko batayenge ke Dracula kaun tha kya uske paas wakai superpowers thi Shaitani takat thi. Dracula Vlad the impaler(vlad 3) ko kaha jata tha. Dracula intahai Zaalim insan tha.
1476 ma sultanat e usmania(ottoman empire) kay 10th sultan muhammad faith nay isay mar diya.

__/LINKS\_
Following Us On.......


Subscribe Our Channel For More Videos:


Follow Us On Facebook:


Follow Us On Twitter:


...................Thank You For Watching Video...............
Don't Forget To Subscribe Our Channel. Like, Comment And Share Our Video to Your Friends.

------------Allah Hafiz--------------",science
173,BqdmMEE-U8U,What Would Happen If Rogue Planet Enter Our Solar System | Kya Qayamat Kareeb A Gayi Ha? |Urdu Hindi,"Very Informative And Knowledge Video..
A rogue planet  is a planetary-mass object that orbits a galactic center directly. Such objects have been ejected from the planetary system in which they formed or have never been gravitationally bound to any star or brown dwarf. The Milky Way alone may have billions of rogue planets.

Some planetary-mass objects may have formed in a similar way to stars
There is a very strange object floating around our stellar neighbourhood and it has astronomers intrigued.

The object, about a dozen times more massive than Jupiter, is a surprisingly strong magnetic powerhouse and a ""rogue,"" traveling through space unaccompanied by any parent star.

At just 20 light years from home, this marks the first planetary-mass object that has ever been detected using radio telescopy. 

At 12.7 times more bigger than Jupiter, travelling with speed of hundred of kilometers per second.
 It also has a strong magnetic field that is more than 200 times stronger than Jupiter's.

The temperature on its surface is more than 1,500 degrees Fahrenheit. Although this sounds hot, it's quite cool compared with the sun's surface temperature of about 9,932 degrees Fahrenheit.


Kya ho ga agr akk awara sayara hamaray nizaam e shamsi ma dakhl ho jata ha? Akk Awara Sayara Kitni Zayada Tabhi La skta ha?Kya qayamat qareeb a chuki/gayi ha? Kya Awara sayara dunya ko Tabah kr day Ga?Kya Insaniyat Khatam ho Jaye gi?
This Infomration and knowledge based video will provide answer to your questions.

__/LINKS\_
Following Us On.......


Subscribe Our Channel For More Videos:


Follow Us On Facebook:


Follow Us On Twitter:


...................Thank You For Watching Video...............
Don't Forget To Subscribe Our Channel. Like, Comment And Share Our Video to Your Friends.

------------Allah Hafiz--------------",science
174,7L14OXLn0A,Prophet(SAW) Prophecy About Satellites TV Channels | Qaymat ki Nishaniyan Jo Puri Hogai | Urdu Hindi,"Aaj Ki Video ma Hum Batain gay Qayamat Ki Nishani Kay Baray ma Jo Puri ho chuki ha. Nabi Kareem(SAW) TV channel ke bare mein 1400 saal pahlay hi Bata diya tha. illuminati aur freemason kis tarah satellites tv channels kay zariye muslmano ko ghumrah kr rahay ha..

In This Video we 'll Talk About Some Signs of Qayamat That Came True In 2018. Prophet Muhammad(SAW) told about Satellites and TV channels 1400 years ago Urdu Hindi. Now illuminati an freemason using this Sateliites Tv channels to mislead the people..



__/LINKS\_
Following Us On.......


Subscribe Our Channel For More Videos:


Follow Us On Facebook:


Follow Us On Twitter:


...................Thank You For Watching Video...............
Don't Forget To Subscribe Our Channel. Like, Comment And Share Our Video to Your Friends.

------------Allah Hafiz--------------",science
175,46WuAUpzg0,History And Reality of Valentine's Day | Valentine Day Exposed | Urdu Hindi,"Valentine's Day, also called Saint Valentine's Day or the Feast of Saint Valentine,[1] is a secular and religious holiday celebrated annually on February 14. It originated as a Western Christian feast day honoring one or two early saints named Valentinus. Valentine's Day is recognized as a significant cultural, religious, and commercial celebration of romance and romantic love in many regions around the world, although it is not a public holiday in any country.

There are numerous martyrdom stories associated with various Valentines connected to February 14,[2] including a written account of Saint Valentine of Rome's imprisonment for performing weddings for soldiers who were forbidden to marry and for ministering to Christians persecuted under the Roman Empire.[3]


From Feb. 13 to 15, the Romans celebrated the feast of Lupercalia. The men sacrificed a goat and a dog, then whipped women with the hides of the animals they had just slain. Young women would actually line up for the men to hit them, Lenski says. They believed this would make them fertile.

The brutal fete included a matchmaking lottery, in which young men drew the names of women from a jar. The couple would then be, um, coupled up for the duration of the festival — or longer, if the match was right.

The ancient Romans may also be responsible for the name of our modern day of love. Emperor Claudius II executed two men — both named Valentine — on Feb. 14 of different years in the 3rd century A.D. Their martyrdom was honored by the Catholic Church with the celebration of St. Valentine's Day.
It is very important in Islam for a believer to ensure that there is no contradiction between their outward actions and their innate beliefs and faith.

Therefore, whether a Muslim is alone or in the public eye, they strive to unequivocally obey their Lord, Allah, by following His messenger, Prophet Muhammad (peace be upon him), at all times.

Islam is not merely a set of physical worship rituals, though these are important in their own right.

It is also a set of guidelines, responsibilities towards others, and rights, which impacts a Muslim’s social customs, interactions, and obligations.

Allah has commanded Muslims to remain united, keep close community bonds with each other to form a strong, global brotherhood, and to not follow the ways of the disbelievers.

Hence, the conscientious Muslim is not a slave to passing trends and customs that have no basis in Islam.

Instead of thinking -why not? what’s the harm?- before following the crowd and their seasonal whims; a Muslim thinks- should I? Will Allah be pleased with this?

The Prophet said: 

Whoever imitates a people is one of them. (Abu Dawud)

Consequently, Muslims do not celebrate any days, festivals, or seasonal celebrations that were not celebrated by the Prophet and his companions.

Valentine in History & Today
Furthermore, Valentine’s Day is a celebration that has no basis in anything worthwhile or noble.

Its origin lies in Roman history, purportedly connected to a “saint” called “Valentine”, who was sentenced to death on 14th February 270 CE.

It began as a pagan ritual started by Romans in the 4th century BC to honor their false god Lupercus.

The main attraction of this ritual was a lottery held to distribute young women to young men for “entertainment and pleasure” — until the next year’s lottery..

In this way, Valentine’s Day promotes adultery and promiscuous relationships, which undermine and jeopardize the sanctity of marriage and the stability of the family unit.

It leads to unnecessary expenditure, and promotes fornication, drinking, and immorality.

Lastly, this day compounds a sense of deprivation, loneliness, and low self-worth among those people who are single.

Islam prohibits dating and sex outside marriage, both of which Valentine’s Day encourages.

It is obvious, then, that a Muslim should not celebrate it.

Love in Islam
On the other hand, Islam encourages strong bonds of love, community, and brotherhood and sisterhood among Muslims, and families, and does not restrict the expression of this brotherly, sisterly, martial, or familial love to just one day a year.

Giving gifts has also been encouraged in Islam, and once again, not restricted to just one day.

Businesses, on the other hand, capitalize on this day to earn as much revenue as possible by offering customized products and services..
__/LINKS\_
Following Us On.......


Subscribe Our Channel For More Videos:


Follow Us On Facebook:


Follow Us On Twitter:


...................Thank You For Watching Video...............
Don't Forget To Subscribe Our Channel. Like, Comment And Share Our Video to Your Friends.

------------Allah Hafiz--------------",science
176,ij2DaPHRdfQ,History of Battle of Maritsa | History of Ottoman Empire(Sultanat e Usmania) | Urdu Hindi,"Battle of the Maritsa River, (September 26, 1371), Ottoman Turk victory over Serbian forces that allowed the Turks to extend their control over southern Serbia and Macedonia. After the Ottoman sultan Murad I (reigned 1360–89) advanced into Thrace, conquered Adrianople, and thereby gained control of the Maritsa River valley, which led into the central Balkans, the Christian states of the Balkans formed an alliance to drive him back. 
The Battle of Maritsa, or took place at the Maritsa River near the village of Chernomen (today Ormenio in Greece) on September 27, 1371 between the forces of Ottoman commanders Lala Shahin Pasha and Evrenos and Serbian commanders King Vukašin Mrnjavčević and his brother Despot Jovan Uglješa who also wanted to get revenge after the First Battle of Maritsa.Their early efforts ended in defeat, and the Bulgarians were compelled to become vassals of the sultan (1366). Another campaign to resist Turkish expansion was organized in 1371 by Vukašin, the king of the southern Serbian lands, who gathered an army 

The Serbian forces ranged from between 20,000-70,000. 
The Ottomans range 800-1000.

What is the reason for such an incredible victory? 
The Serbians had made their camp near the Maritsa. They decided to celebrate their future victory and held a feast. By the morning, the camp largely unguarded and many of the men were drunk.

The force of the Ottoman leader Lala Shahin entered the camp in the morning. His men took their knives out and began slaughtering their sleeping enemies. In the Massacre that followed the two Serbian leaders were killed. Whoever did not die from the Ottoman blades drowned in the river of Maritsa, in an attempt to escape. After the battle, the Maritsa ran scarlet with blood.
The battle involved such carnage that the field was later referred to as “the Serbs’ destruction.” It confirmed Bulgaria’s status as a vassal-state to the Turks and destroyed the independent South Serbian kingdom, whose new ruler, Marko Kraljević, became a vassal of the sultan.

Battle of maritsa is also one of the Muslim bravery story like Battle of Badr, Battle ofmutah, Battle of hattin which no one  have ever told you.
The ottoman sultan proved to be like his forefathers Ertugul, Osman.

__/LINKS\_
Follow Us On.......


Subscribe Our Channel For More Videos:


Follow Us On Facebook:


Follow Us On Twitter:


...................Thank You For Watching Video...............
Don't Forget To Subscribe Our Channel. Like, Comment And Share Our Video to Your Friends.

------------Allah Hafiz--------------",science
177,E6jO7MxfHRY,,"Intex അവതരിപികുന്ന്   ഒരു തകർപ്പൻ 11000mah ന്റെ  ഒരു  POWER BANK. UNBOXING.....   IN MALAYALAM.....  pls watch and then share
Subscribe and click the bell icon to get more videos.... 
Follow us on :
Facebook :
Instagram :
Website :",science
178,IERJdWzF8tg,കേരളത്തിൽ ഇതുവരെ റിലീസ് ചെയ്യാത്ത REDMI 6 UNBOXING WATCH IT GUYS,"കേരളത്തിൽ ഇതുവരെ റിലീസ് ചെയ്യാത്ത MI യുടെ പുതിയ തകർപ്പൻ REDMI NOTE 6.   UNBOXING
Watch it guys and subscribe and share",science
